CHARGE-TEST2;;Stck;;;;;;0;1;0;;;;
WEBSHOP;test webshopbild;Stck;;;;;;0;0;0;;;;
CHARGE-TEST1;;Stck;;;;;;0;1;0;;;;
PREIS111;;Stck;;;;;;0;0;0;;;000000009000366385;
KTEST;;Stck;;;;;;0;0;0;;;000000009001494365;
STORNOTEST;;Stck;;;;;;0;0;0;;;000000009000713011;
POSTERPAUSCHALE;Kippschließplatte x;Stck;;;;;;0;0;0;;;81.45302-0762;
050.00004;;Stck;;;;;;0;0;0;;vv;000000009001775382;
CSNR;;Stck;;;;;;1;1;0;;;;
EDITTEST2;;Stck;;;;;;0;0;0;;;4712;
TEST KALKUL;;Stck;;;;;;0;0;0;;;;
REKLAM;;Stck;;;;;;0;0;0;;;;
MAGAZINTEST;Magazintest;Stck;;;;;;0;0;0;;;;
TERTDSF;;Stck;;;;;;0;0;0;;;;
ANDRE;;Stck;;;;;;0;0;0;;;;
RTF;rft-Artikel in deutsch;Stck;;;;;;0;0;0;;;;
RTF1;rft-Artikel in deutsch;Stck;;;;;;0;0;0;;;;
RTF2;rft-Artikel in deutsch;Stck;;;;;;0;0;0;;;;
DISPO2;dispo;Stck;;;;;;0;0;0;;;;
KALKULATION4711;;Stck;;;;;;0;0;0;;;;
TESTREVISION#B;TestRevisionsstand;Stck;;;;;;0;0;0;;;;
TESTIMPORT;tt;Stck;;;;;;0;0;0;;;;
GSDFDSF;;Stck;;;;;;0;0;0;;;;
112-87-6;;Stck;;;;;;1;0;0;;;;
RABATTGRUPPE TEST;;Stck;;;;;;0;0;0;;;;
INSERTV;;Stck;;;;;;0;0;0;;;;
TEST-PREISFINDUNG;Testartikel für Preisfindung;Stck;;;;;;0;0;0;;;81.45632-0192;
RÜCKLIEFERUNG;Nur für Rücklieferschein;Stck;;;;;;0;0;0;;;81.45633-0192;
LAG-2;Testartikel Lager 2;Stck;;;;;;0;0;0;;;81.45641-7818;
EPSON;EPSON STYLUS Color 800;Stck;;;;;;0;0;0;;;;
X-1;Kippschließplatte x;Stck;;;;;;0;0;0;;X-1;X-1;
ARTIKELNUMMER;Bezeichnung Eins;Stck;;;;;;0;0;0;;;;
#SN11;Testartikel für Seriennummer 1;Stck;;;;;;1;0;0;;vv;123;
TEST+-+;Testartikel für Plusbuchung;Stck;;;;;;0;0;0;;;;
TESTMULTI;;Stck;;;;;;0;0;0;;;;
TEST2;;Stck;;;;;;0;0;0;;;;
ALLG.TEST.00001;dsfdfsdsfsdfd sdsd;Stck;;;;;;0;0;0;;;;
KUNDE ROH;;User;;;;;;0;0;0;;;;
REK LIEF;;Stck;;;;;;0;0;0;;;;
TEST-+-;Testartikel für Minusbuchung;Stck;;;;;;0;0;0;;;;
ALUXTEST;;Stck;;;;;;0;0;0;;;;
ALUXTEST2;;Stck;;;;;;0;0;0;;;;
STAFFELPREIS;;Stck;;;;;;0;0;0;;;;
INVENTUR;;Stck;;;;;;0;0;0;;;;
BEISTELLUNG;;Stck;;;;;;0;0;0;;;;
MAGAZIN;magazin;Stck;;;;;;0;0;0;;;;
CHARGE BIOCARTA;charge;Stck;;;;;;0;1;0;;;;
YYUX;Kippschließplatte;Stck;;;;;;0;0;0;;;4017773009921;
PPG00;test ppg;Stck;;;;;;0;0;0;;;;
FPG01;teststaffel1;Stck;;;;;;0;0;0;;;;
LSTP;;Stck;;;;;;0;0;0;;;;
H;Kippschließplatte;Stck;;;;;;0;0;0;;;4017773009921;
REK NORMAL-2;;Stck;;;;;;1;1;0;;;;
REK NORMAL-3;;Stck;;;;;;1;1;0;;;;
SCT;;Stck;;;;;;1;1;0;;;;
VEREDELT;;Stck;;;;;;0;0;0;;;;
VEREDELT-EINGQANG;;Stck;;;;;;0;0;0;;;;
MD;;Stck;;;;;;0;0;0;;;;
STP;;Stck;;;;;;0;0;0;;;;
N;Kippschließplatte;Stck;;;;;;0;0;0;;;4017773009921;
Z-1;Kippschließplatte z;Stck;;;;;;0;0;0;;;X-1;
Z-2;Kippschließplatte z;Stck;;;;;;0;0;0;;;X-1;
TESTDISPO X;;Stck;;;;;;0;0;0;;;;
NUTZUNGS-;;Stck;;;;;;0;0;0;;;;
TEST LIEFERZEIT;;Stck;;;;;;0;0;0;;;;
SPL;;Stck;;;;;;0;0;0;;;;
TEST DISPO;blabla;Stck;;;;;;0;0;0;;;;
FREMDFERTIGUNG BAUGRUPPE;;Stck;;;;;;0;0;0;;;;
SERIENNUMMER;;Stck;;;;;;1;0;0;;SERIENNUMMER;;
MICLAS.HOTLINE.STD;Support;Std;;;;;;0;0;0;;;;
FGTE;;Stck;;;;;;0;0;0;;;;
BB-BEISTELLUNG;;Stck;;;;;;0;0;0;;;;
DFSDF;;Stck;;;;;;0;0;0;;;;
TEST PREISBERECHNUNG STL;;Stck;;;;;;0;0;0;;;;
C2;;Stck;;;;;;0;1;0;;;;
TESTPREIS BEISTELLUNG;;Stck;;;;;;0;0;0;;;;
LAGERTEST;;Stck;;;;;;0;0;0;;;;
LAGERTEST1;;Stck;;;;;;0;0;0;;;;
PREISBASISTEST;;Stck;;;;;;0;0;0;;;;
MIND;;Stck;;;;;;0;0;0;;;;
TEST-M1;;Stck;;;;;;0;0;0;;;;
TEST-M2;;Stck;;;;;;0;0;0;;;;
X;;Stck;;;;;;0;0;0;;;;
MICLAS.UP-9.50;;Stck;;;;;;0;0;0;;;;
MIT MTZ;;Stck;;;;;;0;0;0;;;;
NICE_MOTOR_FERTIG;;Stck;;;;;;0;0;0;;;;
BEI1;;Stck;;;;;;0;0;0;;;;
