1;ÄÖ;ÖÖ;L;300 GB WESTERN DIGITAL;1.000;0.000;;;;;dfghjk;Stck;DE;20240115105855
1;ÄÖ;ÖÖ;L;300 GB WESTERN DIGITAL;1.000;0.000;;;;;dfghjklö;Stck;DE;20240115105855
1;ÄÖ;ÖÖ;L;300 GB WESTERN DIGITAL;1.000;0.000;;;;;fdghjk;Stck;DE;20240115105855
1;BV;BVB;BV;300 GB WESTERN DIGITAL;1.000;0.000;;;;;ljlk;8;DE;20240111152848
1;BV;BVB;BV;300 GB WESTERN DIGITAL;1.000;0.000;;;;;lllll;8;DE;20240111152942
1;BV;BVB;BV;300 GB WESTERN DIGITAL;1.000;0.000;;;;;löläö;8;DE;20240111152911
1;CX;XC;XC;4.0GB.WD;1.000;0.000;;;;;GH556854;8;DE;20240116083520
1;FDGF;KLÖ;;300 GB WESTERN DIGITAL;0.000;0.000;;;;;;8;DE;20240112083853
1;FF;GG;G;300 GB WESTERN DIGITAL;1.000;0.000;;;;;dgdfgfdg;HGFJ;HG;20240115100417
1;FF;GG;G;300 GB WESTERN DIGITAL;1.000;0.000;;;;;fgfdgfhf;HGFJ;HG;20240115100417
1;FF;GG;G;300 GB WESTERN DIGITAL;1.000;0.000;;;;;hhuhhh;HGFJ;HG;20240115100417
1;FG;FGF;GF;300 GB WESTERN DIGITAL;1.000;0.000;;;;;jhgfcghjk;IOL;DE;20240115111850
1;FG;FGF;GF;300 GB WESTERN DIGITAL;1.000;0.000;;;;;ölkjhvgcfx;IOL;DE;20240115111850
1;FG;FGF;GF;300 GB WESTERN DIGITAL;1.000;0.000;;;;;gggg;Stck;DE;20240115112326
1;FG;FGF;GF;300 GB WESTERN DIGITAL;1.000;0.000;;;;;llllll;Stck;DE;20240115112326
1;FG;FGF;GF;32MB.RAM;2.000;0.000;;;;;;Stck;DE\;20240115111809
1;FG;HG;HG;BLE.10;1.000;0.000;66.000;57.000;25.000;;drfgrfthz;DE;FG;20240115165403
1;FG;HG;HG;BLE.10;1.000;0.000;66.000;57.000;25.000;;fhtdzjdtj;DE;FG;20240115165404
1;GFG;FGF;F;300 GB WESTERN DIGITAL;1.000;0.000;;;;;GH556854;8;DE;20240112164204
1;GH;FG;F;300 GB WESTERN DIGITAL;1.000;0.000;;;;;5345685463;8;DE;20240112100822
1;GHG;HGHFG;G;300 GB WESTERN DIGITAL;1.000;0.000;;;;;jghkl;8;DE;20240115142028
1;GHG;HGHFG;G;300 GB WESTERN DIGITAL;1.000;0.000;;;;;kjhcjk;8;DE;20240115141935
1;GHG;HGHFG;G;300 GB WESTERN DIGITAL;1.000;0.000;;;;;lkjhbvgvhjkl;8;DE;20240115142028
1;GHG;HGHFG;G;300 GB WESTERN DIGITAL;1.000;0.000;;;;;lkjhgfghjkl;8;DE;20240115141935
1;GHG;HGHFG;G;300 GB WESTERN DIGITAL;1.000;0.000;;;;;ölkjhgvhjkl;8;DE;20240115141935
1;GJ;KLK;LJ;01754310;2.000;0.000;;;;;;;20240115150254
1;GJ;KLK;LJ;01754310;9.000;0.000;;;;;;;SY;20240115150429
1;GJ;KLK;LJ;2 GB.DDR3;1.000;0.000;;;;;cgvhjklöä#;;20240115145725
1;GJ;KLK;LJ;2 GB.DDR3;1.000;0.000;;;;;hjklö;;20240115145725
1;GJ;KLK;LJ;2 GB.DDR3;1.000;0.000;;;;;ugihjopü;;20240115145725
1;GJ;KLK;LJ;300 GB WESTERN DIGITAL;1.000;0.000;;;;;ghjkl;UIO;LL;20240115150522
1;GJ;KLK;LJ;ASUS.GA-P5 5M-UD2;1.000;0.000;;;;;dfghzjuilkoö;DGBC;20240115150117
1;GJ;KLK;LJ;ASUS.GA-P5 5M-UD2;1.000;0.000;;;;;sdfghujikol;DGBC;20240115150117
1;GJ;KLK;LJ;MICROPROZESSOR;1.000;0.000;;;;;;BH;DE;20240115150201
1;HG;H;G;300 GB WESTERN DIGITAL;1.000;0.000;;;;;GH556854;8;DE;20240112163949
1;HG;H;G;300 GB WESTERN DIGITAL;1.000;0.000;;;;;GH556854;8;DE;20240112164043
1;HG;HG;HG4;32MB.RAM;1.000;0.000;;;;;;8;DE;20240116082514
1;HG;HG;HG4;32MB.RAM;1.000;0.000;;;;;;8;DE;20240116082519
1;HG;HG;HG4;32MB.RAM;1.000;0.000;;;;;;8;DE;20240116082523
1;HG;HG;HG4;32MB.RAM;1.000;0.000;;;;;;8;DE;20240116082750
1;HG;HG;HG4;4.0GB.WD;1.000;0.000;;;;;GH556854;8;DE;20240116082829
1;HG;HG;HG4;4.0GB.WD;1.000;0.000;;;;;fzhftu;SS;DE;20240116082357
1;HG;HG;HG4;4.0GB.WD;1.000;0.000;;;;;rtrftu;SS;DE;20240116082357
1;HG;HG;HG4;45-110000-8;3.000;0.000;;;;;;;20240116082419
1;HGFH;GH;GF;300 GB WESTERN DIGITAL;1.000;0.000;;;;;463556;Stck;DE;20240115104732
1;HGFH;GH;GF;300 GB WESTERN DIGITAL;1.000;0.000;;;;;5464;Stck;DE;20240115104732
1;HJ;HGGJ;H;300 GB WESTERN DIGITAL;1.000;0.000;;;;;dlfkjgh;8;DE;20240111140048
1;HJ;HGGJ;H;300 GB WESTERN DIGITAL;1.000;0.000;;;;;udrhg;8;DE;20240111140048
1;HK;JL;O;300 GB WESTERN DIGITAL;1.000;0.000;;;;;56369835;8;DE;20240112100204
1;JGH;JH;H;300 GB WESTERN DIGITAL;1.000;0.000;;;;;fdgdfg;FGFG;SY;20240111141707
1;JGH;JH;H;300 GB WESTERN DIGITAL;1.000;0.000;;;;;gfhg;FGFG;SY;20240111141738
1;JGH;JH;H;300 GB WESTERN DIGITAL;1.000;0.000;;;;;hhgjfg;FGFG;SY;20240111141740
1;JH;GH;H;300 GB WESTERN DIGITAL;1.000;0.000;;;;;fghjkl;8;DE;20240112113206
1;JH;JH;H;300 GB WESTERN DIGITAL;1.000;0.000;;;;;123456789;8;DE;20240112102105
1;JH;JH;H;300 GB WESTERN DIGITAL;1.000;0.000;;;;;rtzu;8;DE;20240112102011
